date, pm25, pm10, o3, no2, so2
2024/10/1, 17, 10, 21, 4, 
2024/10/2, 42, 12, 28, 4, 
2024/10/3, 36, 11, 27, 6, 
2024/10/4, 37, 13, 28, 6, 
2024/10/5, 46, 11, 20, 6, 
2024/10/6, 49, 14, 25, 4, 
2024/10/7, 25, 13, 25, 4, 
2024/10/8, 22, 9, 20, 4, 
2024/10/9, 17, 14, 29, 3, 
2024/10/10, 25, 12, 25, 7, 
2024/10/11, 39, 14, 13, 8, 
2024/10/12, 53, 9, 25, 1, 
2024/10/13, 24, , , , 
2024/7/1, 19, 11, 26, 2, 
2024/7/2, 23, 11, 29, 4, 
2024/7/3, 17, 15, 32, 5, 
2024/7/4, 25, 17, 27, 2, 
2024/7/5, 36, 13, 32, 3, 
2024/7/6, 19, 13, 24, 2, 
2024/7/7, 20, 12, 30, 4, 
2024/7/8, 21, 18, 43, 4, 
2024/7/9, 30, 13, 28, 4, 
2024/7/10, 16, 12, 30, 3, 
2024/7/11, 20, 8, 22, 2, 
2024/7/12, 16, 8, 25, 2, 
2024/7/13, 9, 13, 36, 3, 
2024/7/14, 26, 11, 43, 4, 
2024/7/15, 30, 14, 29, 2, 
2024/7/16, 17, 11, 33, 2, 
2024/7/17, 22, 15, 46, 3, 
2024/7/18, 43, 20, 50, 5, 
2024/7/19, 45, 19, 61, 4, 
2024/7/20, 40, 14, 25, 4, 
2024/7/21, 25, 14, 31, 3, 
2024/7/22, 21, 12, 26, 2, 
2024/7/23, 13, 14, 29, 1, 
2024/7/24, 17, 16, 33, 4, 
2024/7/25, 30, 13, 28, 3, 
2024/7/26, 21, 12, 30, 4, 
2024/7/27, 24, 13, 34, 2, 
2024/7/28, 24, 13, 47, 2, 
2024/7/29, 30, 19, 58, 4, 
2024/7/30, 38, 16, 45, 2, 
2024/7/31, 33, 12, 31, 2, 
2024/8/1, 28, 14, 46, 2, 
2024/8/2, 32, 23, 28, 3, 
2024/8/3, 40, 13, 28, 1, 
2024/8/4, 19, 17, 35, 3, 
2024/8/5, 39, 20, 47, 4, 
2024/8/6, 35, 14, 34, 3, 
2024/8/7, 15, 16, 40, 3, 
2024/8/8, 24, 13, 32, 2, 
2024/8/9, 17, 18, 32, 3, 
2024/8/10, 24, 18, 38, 3, 
2024/8/11, 20, 17, 79, 3, 
2024/8/12, 33, 27, 38, 6, 
2024/8/13, 37, 20, 18, 8, 
2024/8/14, 27, 18, 31, 4, 
2024/8/15, 32, 12, 19, 3, 
2024/8/16, 10, 12, 38, 2, 
2024/8/17, 20, 14, 38, 3, 
2024/8/18, 40, 17, 38, 5, 
2024/8/19, 39, 19, 30, 5, 
2024/8/20, 47, 13, 28, 2, 
2024/8/21, 21, 18, 33, 4, 
2024/8/22, 29, 14, 30, 3, 
2024/8/23, 22, 15, 28, 7, 
2024/8/24, 18, 12, 27, 10, 2
2024/8/25, 36, 15, 31, 9, 
2024/8/26, 33, 20, 43, 6, 
2024/8/27, 46, 24, 51, 7, 
2024/8/28, 57, 21, 37, 8, 
2024/8/29, 44, 12, 34, 3, 
2024/8/30, 32, 16, 31, 1, 
2024/8/31, 41, 18, 44, 2, 
2024/9/1, 45, 24, 43, 5, 
2024/9/2, 37, 19, 21, 6, 
2024/9/3, 33, 10, 22, 6, 
2024/9/4, 24, 23, 46, 3, 
2024/9/5, 45, 37, 43, 4, 
2024/9/6, 60, 15, 39, 5, 
2024/9/7, 25, 13, 34, 3, 
2024/9/8, 17, 12, 31, 9, 
2024/9/9, 15, 14, 25, 3, 
2024/9/10, 26, 16, 27, 3, 
2024/9/11, 24, 8, 26, 4, 
2024/9/12, 32, 13, 30, 5, 
2024/9/13, 32, 14, 35, 6, 
2024/9/14, 39, 15, 31, 8, 
2024/9/15, 55, 15, 27, 5, 
2024/9/16, 36, 10, 28, 2, 
2024/9/17, 20, 21, 27, 3, 
2024/9/18, 56, 31, 29, 3, 
2024/9/19, 81, 25, 38, 3, 
2024/9/20, 62, 27, 36, 5, 
2024/9/21, 57, 25, 35, 6, 
2024/9/22, 60, 20, 31, 5, 
2024/9/23, 34, 14, 30, 4, 
2024/9/24, 31, 15, 28, 4, 
2024/9/25, 37, 8, 23, 4, 
2024/9/26, 13, 13, 28, 3, 
2024/9/27, 22, 13, 29, 3, 
2024/9/28, 27, 13, 27, 6, 
2024/9/29, 44, 7, 20, 5, 
2024/9/30, 36, 8, 18, 5, 
2024/4/1, 27, 11, 32, 5, 
2024/4/2, 28, 12, 33, 5, 
2024/4/3, 28, 18, 37, 3, 
2024/4/4, 31, 17, 32, 4, 
2024/4/5, 34, 13, 34, 5, 
2024/4/6, 33, 11, 38, 2, 
2024/4/7, 25, 14, 34, 7, 
2024/4/8, 40, 11, 33, 3, 
2024/4/9, 27, 14, 36, 3, 
2024/4/10, 40, 9, 30, 4, 
2024/4/11, 37, 12, 25, 4, 
2024/4/12, 56, 10, 33, 3, 
2024/4/26, 16, 10, 27, 3, 
2024/4/27, 36, 8, 35, 2, 
2024/4/28, 21, 11, 36, 6, 
2024/4/29, 37, 12, 41, 5, 
2024/4/30, 45, 29, 38, 5, 
2024/5/1, 62, 31, 42, 4, 
2024/5/2, 63, 29, 29, 4, 
2024/5/3, 42, 12, 33, 5, 
2024/5/4, 44, 10, 38, 2, 
2024/5/5, 32, 11, 41, 3, 
2024/5/6, 39, 14, 42, 1, 
2024/5/7, 38, 11, 34, 2, 
2024/5/8, 39, 13, 38, 3, 
2024/5/9, 47, 17, 41, 3, 
2024/5/10, 59, 13, 40, 2, 
2024/5/11, 48, 13, 52, 2, 
2024/5/12, 49, 13, 40, 3, 
2024/5/13, 44, 17, 48, 5, 
2024/5/14, 41, 17, 25, 5, 
2024/5/15, 51, 14, 33, 4, 
2024/5/16, 45, 21, 32, 6, 
2024/5/17, 61, 24, 41, 5, 
2024/5/18, 56, 25, 47, 2, 
2024/5/19, 54, 16, 36, 1, 
2024/5/20, 39, 13, 41, 4, 
2024/5/21, 39, 12, 36, 3, 
2024/5/22, 34, 15, 34, 3, 
2024/5/23, 43, 20, 26, 7, 
2024/5/24, 56, 9, 35, 2, 
2024/5/25, 40, 14, 30, 3, 
2024/5/26, 38, 12, 32, 3, 
2024/5/27, 27, 11, 33, 3, 
2024/5/28, 30, 10, 29, 2, 
2024/5/29, 24, 11, 34, 5, 
2024/5/30, 32, 13, 37, 1, 
2024/5/31, 31, 22, 32, , 
2024/6/1, 43, 21, 40, , 
2024/6/2, 55, 13, 32, 2, 
2024/6/3, 41, 17, 35, 5, 
2024/6/4, 51, 13, 30, 2, 
2024/6/5, 38, 19, 31, 6, 
2024/6/6, 55, 20, 32, 6, 
2024/6/7, 57, 14, 29, 3, 
2024/6/8, 39, 12, 30, 2, 
2024/6/9, 35, 9, 26, 5, 
2024/6/10, 25, 13, 30, 2, 
2024/6/11, 21, 7, 32, 2, 
2024/6/12, 12, 11, 38, 4, 
2024/6/13, 37, 11, 27, 4, 
2024/6/14, 28, 11, 29, 2, 
2024/6/15, 15, 12, 28, 1, 
2024/6/16, 19, 13, 36, 3, 
2024/6/17, 25, 13, 21, 7, 
2024/6/18, 27, 11, 34, 1, 
2024/6/19, 17, 10, 34, 2, 
2024/6/20, 26, 13, 26, 3, 
2024/6/21, 29, 14, 31, 3, 
2024/6/22, 32, 14, 37, 4, 
2024/6/23, 27, 13, 47, 3, 
2024/6/24, 30, 17, 53, 3, 
2024/6/25, 35, 22, 52, 3, 
2024/6/26, 36, 24, 61, 6, 
2024/6/27, 46, 16, 32, 2, 
2024/6/28, 24, 15, 42, 4, 
2024/6/29, 27, 10, 33, 1, 
2024/6/30, 19, 10, 28, 1, 
2024/1/1, 45, 10, , 3, 
2024/1/2, 19, 15, , 3, 
2024/1/3, 26, 11, , 7, 
2024/1/4, 24, 7, , 6, 
2024/1/5, 27, 7, , 2, 
2024/1/6, 34, 9, , 2, 
2024/1/7, 47, 9, , 2, 
2024/1/8, 44, 9, , 4, 
2024/1/9, 43, 13, , 8, 
2024/1/10, 58, 23, , 14, 
2024/1/11, 80, 9, , 9, 
2024/1/12, 44, 13, , 7, 
2024/1/13, 55, 17, , 6, 
2024/1/14, 62, 9, , 5, 
2024/1/15, 20, 12, , 9, 
2024/1/16, 36, 26, , 17, 
2024/1/17, 71, 16, , 19, 
2024/1/18, 40, 12, , 11, 
2024/1/19, 42, 20, , 11, 
2024/1/20, 72, 10, , 4, 
2024/1/21, 53, 20, , 3, 
2024/1/22, 31, 21, , 5, 
2024/1/23, 40, 26, , 4, 
2024/1/24, 43, 30, , 12, 
2024/1/25, 57, 16, , 4, 
